Ligar um aparelho,Desligar um aparelho,Criar uma regra
Liga a televisão por favor.,Desligue a luz do quarto por favor.,Ligue o ar condicionado as 3 da tarde hoje.
Ligue o ar condicionado.,Desligar a TV.,"Ligar a luz das 15 às 18 horas, todo dia."
Ar condicionado ligado.,Desliga o ar condicionado.,Apagar as luzes do quarto as 22 horas.
Liga a luz do quarto ai.,Desligar música.,"Ligar a cafeteira às seis e quarenta e cinco, segundas e quartas."
Liga meu computador pra mim.,Para a música.,Desligue todos os eletrônicos da casa às 21 horas.
Acende a luz da cozinha por favor.,Apaga a luz da cozinha.,Desligar o ventilador da sala as 15 horas.
Acende o gás.,Chega de luz no corredor.,"Faz café pra mim todo dia às sete, por favor."
Ascender gás.,Está claro demais na sala.,"Desligue todas as luzes e ar condicionados da casa às 9 horas, todo dia."
Liga o som.,Meu quarto está claro demais.,"Sempre toque uma música às oito da manhã, de segunda à sexta."
Bota um som aí pra mim.,Tem muita luz na cozinha.,Liga o ar condicionado pra mim daqui a meia hora ok?
Bota uma música aí.,"Chega de vento, por favor.",Faz café pra mim daqui a cinco minutos por favor.
Meu quarto está um pouco escuro.,A sala está vazia.,Ligar a TV da sala na quarta feira as 21:30 e desligar as 23:00;
Preciso de luz aqui.,Não tem mais ninguém na sala.,Ligar o ar condicionado quando a temperatura ambiente estiver acima de 25°C;
Coloca a torradeira pra funcionar.,Desligue a TV da sala;,Desligar o ventilador as 09:00 AM;
Coloca o ventilador do quarto pra funcionar.,Pode desligar o ventilador do quarto;,Quero que a TV do quarto ligue as 13:00 de sábado;
Faz um café aí.,Quero que desligue o som da piscina;,Me acorde na segunda feira as 6 da manhã;
Liga a luz do quarto;,Desligar boiler da casa,O PC deve ligar as 13:00 da quarta feira;
Pode ligar a TV por favor?,Pode desligar o ar condicionado por favor?,Apagar as luzes da sala as 00:20;
Ligue o ventilador da sala,Desligue o ventilador da cozinha;,Pode ligar as luzes na sexta a noite as 19:00?
Ligar TV da cozinha,Desligue as luzes do quarto;,Desligar o ar condicionado as 07:00;
Ligar aparelho de som,Desligue apenas as primeiras luzes da sala;,Desligar o video-game as 19:00 todos os dias da semana.
Pode ligar o PC 1,Desligue todos as luzes da casa;,Ligue a luz da fachada das 18 às 7 horas todos os dias
Ligar todas as luzes de casa,Desligar o ar condicionado do escritório.,Desligue o ar condicionado do [cômodo] às 8 horas de segunda à sexta
Ligar o ar condicionado do quarto com suíte,Desligue o ar condicionado,"Ligue/ative o sistema de irrigação às 5 horas dia sim, dia não"
Ligar a impressora conectada ao pc 1,Desligue o ar,Ligue o ar condicionado do [cômodo] meio dia e meia
Quero que ligue a TV do quarto;,Desligue o ar condicionado do [cômodo],Ligue o ar Condicionado do [cômodo] das 12 horas até seis da tarde/noite
"Ligue a televisão, por favor",Desligue a luz do [cômodo],Mantenha as luzes do [cômodo] acesas até às 6 horas
"Liga a tv, por favor",Desligue a iluminação da fachada,"Programe o alarme para despertar segundas, quartas e sextas às dez da manhã/noite"
"Ligue a luz do [cômodo], por favor",Desligue o sistema de segurança,Ligue o rádio na estação x às sete da manhã/noite (ou 19 horas)
Acenda a luz do [cômodo],Desligue o ventilador no [cômodo],Acenda as luzes da fachada das seis da tarde/noite até às seis da manhã.
Ligue o ar condicionado,Desative o sistema de segurança,Acenda a luz do [cômodo] às seis da tarde
"Ligue o ar, por favor",Desative o alarme da porta,Ligue o ar por x minutos/horas
"Por favor,Ligue o computador",Apague a luz do [cômodo],Ligue o ar por meia hora
Ligue o ar condicionado do [cômodo],Desliga a TV,Desliga a TV depois do jornal das 21:00 horas
Ligue todas as luzes da casa,Apaga o abajur,Apaga o abajur depois de 30 minutos dele aceso
Ligue o alarme de casa,Desliga as luzes,A luz da cozinha fica ligada de 8:00 da manhã até 22:00 da noite
Ative o alarme de casa,Nenhuma luz acesa no quarto,Todo dia as 7:00 da manhã tocar despertador
Ligue o rádio na estação x,Ar condicionado desligado,Manter o ar condicionado na temperatura de 24 graus de 22:00 as 7:00 horas
Liga a TV,Apaga a tela da tv,Apaga a tela da tv depois das 22:00 horas caso esteja ligada
Resfriar o quarto,Não quero mais assistir TV,O ar fica ligado de 7:00 as 16:00 horas
Acende o abajur,Por hoje chega de música,sempre desligue o ar condicionado as 9:00
Liga as luzes,Desligar computador,sempre ligue o ar condicionado as 21:00
Iluminar o quarto,A comida já está suficientemente quente,sempre ligue o ar condicionado no período de 9:00 as 18:00
Ar condicionado ligado,desligue o ar condicionado do quarto,sempre ligue o ar condiconado no intervalo de 9:00 as 18:00
Acende a tela da tv,desligar o ar condicionado do quarto,ligue o ar condicionado as 21:00
Esquentar comida no microondas,desliga o ar condicionado do quarto,ligue o ar condicionado no horário comercial
Lavar roupa na máquina,não funcione o ar condicionado,ligue o ar condicionado fora do horário comercial
Ligar computador,faça não funcionar o ar condicionado,ligue o ar condicionado no horário de dormir
Toca uma musica do radio,ponha em não funcionamento o ar condicionado,ligue o ar condicionado a noite
ligue o ar condicionado do quarto,desenergize o ar condicionado,ligue o ar condicionado a tarde
